,Título: ,Lugares: ,Noticia: 
0,Piden 'taparroscas' al PRD regresar al Frente opositor,Nacional,"Durante el primer foro de 'Diálogos Ciudadanos', los aspirantes coincidieron en que el tema de seguridad es uno de los principales problemas para atender en México"
1,Avance militar ruso obliga a Ucrania a evacuar a miles,Internacional,Enviar drones a Moscú tras más de 17 meses de guerra tiene poco valor militar aparente para el
2,Definen fechas y horarios de próximos partidos de Bravos,Deportes,La escuadra juarense buscará defender su invicto frente a las Chivas del Guadalajara
3,EU busca regular uso de imágenes creadas por IA en política,Nacional,"¡Es ahora o nunca! ¡Participa por los 17,5 mil millones de pesos del Mega Millions antes de que caiga!"
4,Buscan descalificar campaña de Trump por su papel en motín del Capitolio,Juárez,Esto luego de obtener el título de la Copa Oro
5,Asesinan a hombre en el patio de su casa,Deportes,"Hasta por un año después de haberse contagiado, las personas tienen un mayor riesgo de desarrollar problemas cardiacos"
6,Informa SEP de seis amparos por libros de texto,Nacional,Así se observa la torrencial lluvia en el municipio de Temósachi
7,Espera cártel carne fresca de la maquila,El Paso,La próxima semana realizarán un consejo técnico para definir estrategias y revisar los textos
8,EU prové de recursos a Rusia comprando su combustible nuclear,Juárez,El Comité Nacional Republicano ha exigido que los contendientes de 2024 se comprometan a apoyar al eventual candidato para poder debatir
9,Acusa AMLO ineptitud y descuido en INE por caso Gálvez,Escaparate,"El edil refirió que el servicio que prestan a la comunidad juarense ha sido de gran apoyo, de modo que el gobierno municipal siempre estará atento a auxiliarlos"
10,Buscan SSPM a propietario de cartera extraviada,Deportes,"Ahí se puede degustar desde lo más tradicional como enchiladas, gorditas fritas, tacos, entre otros alimentos"
11,Causa empleado destrozos en negocio tras discutir con gerente,Salud,Ambos políticos aseguraron que nunca había existido una alianza tan fuerte entre México y EU
12,Asesinan a mujer en el northeast; pide apoyo Policía,Estado,Lo anterior ha generado incertidumbre a los gasolineros de caer en incumplimiento regulatorio que los lleve a ser acreedores a una sanción
13,Por dejar de ir a firmar lo detienen,Estado,"Alrededor de 49 mil 500 personas se quitaron la vida, cifra más alta jamás registrada"
