,Título: ,Lugares: ,Noticia: 
0,Se desmayan 4 tras amenaza de bomba en Montwood HS,El Paso,Sucumben estudiantes ante el calor en campo de futbol americano tras ser evacuados
1,Reportan que agentes de la GN fueron privados de su libertad,Juárez,Un fuerte operativo se realiza esta tarde en el fraccionamiento Pradera de los Oasis y colonias aledañas en búsqueda de los responsables
2,Aumenta 68% fraudes en línea,Economía,"Los tenis de alto precio, los jerseys de fútbol, las bolsas y carteras, las joyas y los relojes son los principales productos escogidos por los los estafadores"
3,"Respetamos legalidad, dice SEP sobre libros en Chihuahua",Juárez,"¡Es ahora o nunca! ¡Participa por los 17,5 mil millones de pesos del Mega Millions antes de que caiga!"
4,"Habría sido por equivocación, secuestro de agentes de la GN",Estados Unidos,Cierran tráfico en ambas direcciones en Mission Ridge
5,Asegura Xóchitl que AMLO busca eliminarla de contienda,Juárez,El próximo lunes pedirá licencia para dedicarse de lleno al proceso de elección del candidato presidencial del Frente Amplio por México
6,Declaran legal detención de los presuntos asesinos de custodio de valores,Nacional,Chihuahua es la segunda entidad que en este 2023 se vio más afectada en número de hectáreas
7,Alerta de vil fraude federal con ‘chuecos’,Estados Unidos,Se trata de la sexta fémina asesinada este mes y el homicidio doloso número 40 en lo que va de agosto
8,Caen por llevar arma tipo revólver calibre 38,Juárez,'Vamos avanzando y es el compromiso que se termine'
9,Tras fuerte operativo encuentran con vida a agentes de la GN,Escaparate,"Se advirtió que los del rango de 15 a 29 años tienen un gran potencial, talento y capacidades, pero enfrentan barreras estructurales para su empleabilidad"
10,Concede SCJN a Chihuahua la suspensión para la distribución de libros de texto,El Paso,"Nos reservaremos absolutamente el derecho si están invadiendo nuestro país y matando a nuestra gente, dijo el gobernador de Florida"
11,Por ir a exceso de velocidad es detenido; le hallan fusil y droga,Nacional,La representación social solicitó un plazo de cuatro meses para el cierre de la investigación complementaria
12,Video: Evacuan Montwood HS por amenaza de bomba,Estado,Los ganadores recibieron un reconocimiento en la sesión solemne de Cabildo y un premio cada uno de 10 mil pesos
13,Amplían capacidad a casi mil 900 cámaras,Juárez,SICT ha destinado sólo 70 mdp para mantenimiento; alcanza apenas para 70 kilómetros de 3 mil que necesitan atención
